HASHTAG FILE count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset relative_frequency_H_C frequency_H_in_C frequency_H_overall
hepaMMMMMMis 100256670.hashtags 2 260 1 3928
abortion 100256670.hashtags 1 260 2 3928
pagov 100256670.hashtags 1 260 0 3928
DRC 100256670.hashtags 2 260 0 3928
Ebola 100256670.hashtags 3 260 1 3928
SB2536 100256670.hashtags 1 260 0 3928
nmpol 100256670.hashtags 1 260 0 3928
GaPol 100256670.hashtags 1 260 0 3928
Russia 100256670.hashtags 21 260 104 3928
Poland 100256670.hashtags 1 260 5 3928
Bulgaria 100256670.hashtags 1 260 0 3928
Ukraine 100256670.hashtags 18 260 140 3928
hepaMMMMMMis 100256670.hashtags 2 260 1 3928
Covid 100256670.hashtags 1 260 157 3928
RussianWarCrimes 100256670.hashtags 1 260 0 3928
Navalny 100256670.hashtags 1 260 1 3928
GovRonDeSantis 100256670.hashtags 1 260 2 3928
CNN 100256670.hashtags 2 260 1 3928
MSNBC 100256670.hashtags 1 260 3 3928
blacktwitter 100256670.hashtags 1 260 0 3928
MyFlorida 100256670.hashtags 1 260 0 3928
RNC 100256670.hashtags 1 260 0 3928
CerroPeladoFire 100256670.hashtags 1 260 0 3928
JemezMountains 100256670.hashtags 1 260 0 3928
Ebola 100256670.hashtags 3 260 1 3928
DRC 100256670.hashtags 2 260 0 3928
Ebola 100256670.hashtags 3 260 1 3928
DeSantis 100256670.hashtags 2 260 4 3928
SCOTUS 100256670.hashtags 13 260 5 3928
WarnerBrosDiscovery 100256670.hashtags 1 260 0 3928
DavidZaslav 100256670.hashtags 1 260 0 3928
Putin 100256670.hashtags 2 260 61 3928
Russia 100256670.hashtags 21 260 104 3928
McBrideFire 100256670.hashtags 1 260 0 3928
SCOTUS 100256670.hashtags 13 260 5 3928
Russian 100256670.hashtags 10 260 52 3928
covid19 100256670.hashtags 1 260 7 3928
America 100256670.hashtags 1 260 46 3928
DemocracyInChains 100256670.hashtags 1 260 0 3928
SCOTUS 100256670.hashtags 13 260 5 3928
TheDropout 100256670.hashtags 1 260 0 3928
JamalKhashoggi 100256670.hashtags 1 260 0 3928
landmines 100256670.hashtags 1 260 0 3928
Oxxxymiron 100256670.hashtags 1 260 0 3928
Berlin 100256670.hashtags 1 260 0 3928
Ukraine 100256670.hashtags 18 260 140 3928
PaulGosar 100256670.hashtags 1 260 0 3928
Russian 100256670.hashtags 10 260 52 3928
OpportunityZones 100256670.hashtags 1 260 0 3928
SCOTUS 100256670.hashtags 13 260 5 3928
SCOTUS 100256670.hashtags 13 260 5 3928
NEW 100256670.hashtags 2 260 6 3928
bookban 100256670.hashtags 1 260 0 3928
UAarmy 100256670.hashtags 1 260 0 3928
Irpin 100256670.hashtags 1 260 0 3928
Ukraine 100256670.hashtags 18 260 140 3928
graphictruth 100256670.hashtags 1 260 0 3928
SARSCoV2 100256670.hashtags 2 260 0 3928
COVID19 100256670.hashtags 5 260 56 3928
SB90 100256670.hashtags 1 260 0 3928
heartland 100256670.hashtags 1 260 0 3928
ivermectin 100256670.hashtags 1 260 1 3928
COVID 100256670.hashtags 6 260 92 3928
TOGETHER 100256670.hashtags 1 260 1 3928
LGBTQ 100256670.hashtags 2 260 5 3928
NEW 100256670.hashtags 2 260 6 3928
UNFIT 100256670.hashtags 1 260 0 3928
Russia 100256670.hashtags 21 260 104 3928
RaDondaVaught 100256670.hashtags 1 260 0 3928
MedTwitter 100256670.hashtags 1 260 0 3928
NurseTwitter 100256670.hashtags 1 260 0 3928
COVID19 100256670.hashtags 5 260 56 3928
scotus 100256670.hashtags 2 260 0 3928
OTD 100256670.hashtags 2 260 0 3928
FBIWFO 100256670.hashtags 1 260 0 3928
Voronezh 100256670.hashtags 1 260 0 3928
Ukraine 100256670.hashtags 18 260 140 3928
WomensFuturesMonth 100256670.hashtags 1 260 0 3928
SCOTUS 100256670.hashtags 13 260 5 3928
LGBTQ 100256670.hashtags 2 260 5 3928
RNA2022 100256670.hashtags 1 260 0 3928
OTD 100256670.hashtags 2 260 0 3928
nytimes 100256670.hashtags 1 260 1 3928
